time,flow,occupancy,speed
9.953,0,nan,nan
19.953,0,nan,nan
29.953,0,nan,nan
39.953,0,nan,nan
49.953,360,1.85098,34.5763
59.953,480,2.01178,31.8126
69.953,1029,2.27768,28.0987
79.953,1305,2.56763,24.9257
89.953,1400,2.69545,23.7437
99.953,1584,2.59381,24.6742
109.953,1604,2.64695,24.1788
119.953,2040,2.86276,22.356
129.953,1966,2.95357,21.6687
139.953,2212,2.79949,22.8613
149.953,2280,2.66895,23.9795
159.953,2475,2.38569,26.8266
169.953,2520,2.30859,27.7226
179.953,2600,2.29921,27.8356
189.953,2634,2.29658,27.8675
199.953,2664,2.3386,27.3668
209.953,2692,2.36311,27.083
219.953,2667,2.43398,26.2944
229.953,2708,2.35492,27.1771
239.953,2835,2.59667,24.6469
249.953,2851,2.30558,27.7587
259.953,2852,2.29587,27.8761
269.953,2920,2.40915,26.5654
279.953,2931,2.41279,26.5253
289.953,2880,2.27998,28.0704
299.953,2904,2.27302,28.1564
309.953,2833,2.26305,28.2804
319.953,2857,2.36919,27.0135
329.953,2858,2.38129,26.8762
339.953,2901,2.54009,25.196
349.953,2880,2.37197,26.9818
359.953,2870,2.19834,29.1128
369.953,2899,2.29451,27.8926
379.953,2908,2.4646,25.9677
389.953,2963,2.33834,27.3698
399.953,3051,2.41422,26.5096
409.953,3126,2.36469,27.0648
419.953,3077,2.74634,23.3038
429.953,3114,2.64711,24.1773
439.953,3142,2.53086,25.2879
449.953,3168,2.55328,25.0658
