time,flow,occupancy,speed
4.14662,0,nan,nan
14.1466,0,nan,nan
24.1466,0,nan,nan
34.1466,0,nan,nan
44.1466,0,nan,nan
54.1466,0,nan,nan
64.1466,0,nan,nan
74.1466,242,1.91064,33.4967
84.1466,342,2.07527,30.8393
94.1466,764,2.11253,30.2954
104.147,691,2.16872,29.5104
114.147,1103,2.44417,26.1848
124.147,1188,2.61553,24.4692
134.147,1180,2.60657,24.5534
144.147,1223,2.91081,21.987
154.147,1588,2.90472,22.0331
164.147,1754,2.86245,22.3585
174.147,1963,2.95132,21.6852
184.147,2033,2.89203,22.1298
194.147,2206,2.89646,22.0959
204.147,2239,2.66794,23.9886
214.147,2336,2.44211,26.2068
224.147,2328,2.33628,27.394
234.147,2321,2.25838,28.3389
244.147,2403,2.25574,28.3721
254.147,2436,2.37579,26.9385
264.147,2466,2.17895,29.3719
274.147,2560,2.69435,23.7534
284.147,2597,2.56884,24.914
294.147,2606,2.2366,28.6149
304.147,2663,2.61031,24.5181
314.147,2624,2.56632,24.9385
324.147,2632,2.5775,24.8302
334.147,2714,2.62847,24.3488
344.147,2657,2.41597,26.4904
354.147,2642,2.35986,27.1203
364.147,2609,2.37779,26.9158
374.147,2694,2.62732,24.3595
384.147,2680,2.42555,26.3858
394.147,2740,2.36842,27.0222
404.147,2761,2.37799,26.9135
414.147,2694,2.03557,31.4407
424.147,2690,2.68482,23.8378
434.147,2752,2.67031,23.9672
444.147,2763,2.5466,25.1315
454.147,2766,2.22397,28.7774
464.147,2807,2.13205,30.0181
474.147,2816,2.4776,25.8314
484.147,2803,2.40985,26.5577
494.147,2863,2.38672,26.815
504.147,2899,2.3745,26.9531
514.147,2856,2.41525,26.4983
524.147,2843,2.16069,29.6202
534.147,2877,2.56353,24.9655
544.147,2917,2.47548,25.8536
