time,flow,occupancy,speed
9.69809,0,nan,nan
19.6981,0,nan,nan
29.6981,0,nan,nan
39.6981,0,nan,nan
49.6981,0,nan,nan
59.6981,0,nan,nan
69.6981,0,nan,nan
79.6981,0,nan,nan
89.6981,0,nan,nan
99.6981,0,nan,nan
109.698,164,1.9705,32.4791
119.698,300,2.02916,31.5401
129.698,555,2.12096,30.175
139.698,515,2.21954,28.8347
149.698,841,2.18003,29.3574
159.698,856,2.36948,27.0102
169.698,933,2.49464,25.655
179.698,881,2.85312,22.4316
189.698,929,2.85941,22.3822
199.698,1225,2.7835,22.9927
209.698,1424,2.84793,22.4725
219.698,1556,2.89976,22.0708
229.698,1724,2.96709,21.57
239.698,1787,3.11113,20.5713
249.698,1874,2.97674,21.5001
259.698,2010,2.67721,23.9054
269.698,2015,2.37794,26.9141
279.698,2097,2.2171,28.8666
289.698,2137,2.32122,27.5717
299.698,2174,2.30883,27.7197
309.698,2231,2.24444,28.5149
319.698,2308,2.64859,24.1638
329.698,2249,2.76601,23.138
339.698,2363,2.40398,26.6225
349.698,2357,2.58633,24.7455
359.698,2291,2.58091,24.7974
369.698,2356,2.60187,24.5977
379.698,2360,2.47422,25.8667
389.698,2346,2.2845,28.0148
399.698,2341,2.28897,27.9602
409.698,2407,2.27624,28.1166
