time,flow,occupancy,speed
4.736,0,nan,nan
14.736,0,nan,nan
24.736,0,nan,nan
34.736,0,nan,nan
44.736,0,nan,nan
54.736,0,nan,nan
64.736,0,nan,nan
74.736,0,nan,nan
84.736,212,1.80468,35.4633
94.736,304,2.07196,30.8886
104.736,687,2.21433,28.9027
114.736,627,2.19626,29.1405
124.736,1010,2.38646,26.818
134.736,1095,2.52473,25.3492
144.736,1094,2.67419,23.9324
154.736,1023,nan,nan
164.736,1420,2.7548,23.2322
174.736,1586,2.72802,23.4603
184.736,1792,2.94253,21.75
194.736,1867,3.125,20.48
204.736,2039,3.25624,19.6546
214.736,2095,2.89357,22.118
224.736,2226,2.3962,26.709
234.736,2223,2.3205,27.5803
244.736,2221,2.19579,29.1467
254.736,2303,2.22812,28.7238
264.736,2338,2.39186,26.7574
274.736,2371,2.22789,28.7268
284.736,2465,2.66437,24.0206
294.736,2516,2.74515,23.3139
304.736,2445,2.6693,23.9763
314.736,2573,2.61676,24.4577
324.736,2538,2.68688,23.8195
334.736,2516,2.6034,24.5832
344.736,2600,2.59651,24.6485
354.736,2577,2.52348,25.3618
364.736,2566,2.42434,26.399
374.736,2536,2.45163,26.1051
384.736,2601,2.49845,25.6159
394.736,2571,2.64378,24.2078
404.736,2659,2.37892,26.903
414.736,2638,2.47282,25.8813
424.736,2585,2.11872,30.2069
434.736,2666,2.20515,29.023
